,names,labels
0,x0.jpg,[9.]
1,x1.jpg,[6.]
2,x2.jpg,[12.]
3,x3.jpg,[4.]
4,x4.jpg,[13.]
5,x5.jpg,[13.]
6,x6.jpg,[7.]
7,x7.jpg,[16.]
8,x8.jpg,[6.]
9,x9.jpg,[6.]
10,x10.jpg,[12.]
11,x11.jpg,[12.]
12,x12.jpg,[11.]
13,x13.jpg,[16.]
14,x14.jpg,[15.]
15,x15.jpg,[11.]
16,x16.jpg,[12.]
17,x17.jpg,[14.]
18,x18.jpg,[16.]
19,x19.jpg,[11.]
20,x20.jpg,[12.]
21,x21.jpg,[6.]
22,x22.jpg,[11.]
23,x23.jpg,[12.]
24,x24.jpg,[9.]
25,x25.jpg,[12.]
26,x26.jpg,[12]
27,x27.jpg,[8.]
28,x28.jpg,[4.]
29,x29.jpg,[3.]
30,x30.jpg,[5.]
31,x31.jpg,[13.]
32,x32.jpg,[12.]
33,x33.jpg,[11.]
34,x34.jpg,[27.]
35,x35.jpg,[15.]
36,x36.jpg,[18.]
37,x37.jpg,[10.]
38,x38.jpg,[7.]
39,x39.jpg,[9.]
40,x40.jpg,[7.]
41,x41.jpg,[10.]
42,x42.jpg,[15.]
43,x43.jpg,[11.]
44,x44.jpg,[11.]
45,x45.jpg,[14.]
46,x46.jpg,[13.]
47,x47.jpg,[5.]
48,x48.jpg,[13.]
49,x49.jpg,[16.]
50,x50.jpg,[13]
51,x51.jpg,[9.]
52,x52.jpg,[8.]
53,x53.jpg,[6.]
54,x54.jpg,[14.]
55,x55.jpg,[28.]
56,x56.jpg,[6.]
57,x57.jpg,[21.]
58,x58.jpg,[9.]
59,x59.jpg,[10.]
60,x60.jpg,[15.]
61,x61.jpg,[13.]
62,x62.jpg,[9.]
63,x63.jpg,[9.]
64,x64.jpg,[9.]
65,x65.jpg,[14.]
66,x66.jpg,[14.]
67,x67.jpg,[13.]
68,x68.jpg,[12.]
69,x69.jpg,[9.]
70,x70.jpg,[17.]
71,x71.jpg,[8.]
72,x72.jpg,[11.]
73,x73.jpg,[13.]
74,x74.jpg,[14.]
75,x75.jpg,[12.]
76,x76.jpg,[5.]
77,x77.jpg,[9.]
78,x78.jpg,[12]
79,x79.jpg,[8.]
80,x80.jpg,[17.]
81,x81.jpg,[4.]
82,x82.jpg,[25.]
83,x83.jpg,[15]
84,x84.jpg,[16.]
85,x85.jpg,[11.]
86,x86.jpg,[12.]
87,x87.jpg,[5.]
88,x88.jpg,[19.]
89,x89.jpg,[5.]
90,x90.jpg,[17.]
91,x91.jpg,[5.]
92,x92.jpg,[11.]
93,x93.jpg,[9.]
94,x94.jpg,[7.]
95,x95.jpg,[6.]
96,x96.jpg,[11.]
97,x97.jpg,[19.]
98,x98.jpg,[15.]
99,x99.jpg,[9]
100,x100.jpg,[8.]
101,x101.jpg,[8.]
102,x102.jpg,[13.]
103,x103.jpg,[6.]
104,x104.jpg,[15.]
105,x105.jpg,[15.]
106,x106.jpg,[24.]
107,x107.jpg,[9.]
108,x108.jpg,[11.]
109,x109.jpg,[14.]
110,x110.jpg,[18.]
111,x111.jpg,[23.]
112,x112.jpg,[9.]
113,x113.jpg,[10.]
114,x114.jpg,[4.]
115,x115.jpg,[5.]
116,x116.jpg,[6.]
117,x117.jpg,[23.]
118,x118.jpg,[19.]
119,x119.jpg,[11]
120,x120.jpg,[21.]
121,x121.jpg,[17.]
122,x122.jpg,[13.]
123,x123.jpg,[12.]
124,x124.jpg,[13.]
125,x125.jpg,[12.]
126,x126.jpg,[3.]
127,x127.jpg,[15.]
128,x128.jpg,[11.]
129,x129.jpg,[12.]
